id,band1,band2,avg_corr,center_x,center_y,years_observed,first_year,last_year,human_rule
1,evi,ndwi,0.9428906,797,323,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
2,evi,ndvi,0.94368994,1028,340,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
3,evi,ndvi,0.9782984,1136,380,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
4,ndvi,ndwi,0.94638705,846,412,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
5,evi,ndvi,0.9062315,1064,408,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
6,evi,ndvi,0.91045886,1821,435,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
7,evi,ndvi,0.9361659,1131,447,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
8,evi,ndwi,0.91498834,2033,449,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
10,evi,ndwi,0.9324191,2167,457,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
11,ndvi,ndwi,0.902503,2249,457,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
12,ndvi,ndwi,0.9197667,789,450,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
13,ndvi,ndwi,0.94307274,1090,452,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
14,ndvi,ndwi,0.9407031,1360,448,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
16,evi,ndvi,0.9264406,901,489,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
17,evi,ndwi,0.9496756,1964,485,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
18,ndvi,ndwi,0.94292134,2312,498,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
19,evi,ndvi,0.9267023,816,504,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
20,evi,ndvi,0.91444236,848,508,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
21,evi,ndvi,0.91335315,776,512,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
22,evi,ndwi,0.9132285,2084,520,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
23,evi,ndvi,0.93015593,866,522,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
24,evi,ndvi,0.9355771,874,530,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
26,evi,ndwi,0.9080469,882,538,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
28,evi,ndvi,0.9163146,1840,560,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
30,ndvi,ndwi,-0.922795,744,584,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong negative correlation in this zone
33,ndvi,ndwi,0.941685,2136,592,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
34,ndvi,ndwi,0.9211378,2146,602,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
35,ndvi,ndwi,0.92676324,2520,600,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
36,evi,ndvi,0.9431122,964,608,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
37,ndvi,ndwi,0.92462087,2534,617,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
38,evi,ndvi,0.91857475,584,616,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
39,evi,ndwi,0.9393999,816,628,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
41,evi,ndvi,0.9339839,786,649,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
42,evi,ndwi,0.93924314,2600,648,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
44,ndvi,ndwi,0.9152087,2032,664,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
45,evi,ndwi,0.9447968,2571,681,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
47,evi,ndwi,0.95701873,2352,672,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
48,evi,ndvi,0.94707865,1939,685,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
49,evi,ndwi,0.95656043,2420,688,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
51,evi,ndwi,0.94470584,624,780,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
52,evi,ndwi,-0.92303264,512,784,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong negative correlation in this zone
53,ndvi,ndwi,-0.9167968,2368,792,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong negative correlation in this zone
57,evi,ndvi,0.95275563,1736,872,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
58,evi,ndwi,0.95937186,2812,888,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
59,ndvi,ndwi,0.9639309,1680,896,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
61,ndvi,ndwi,0.9419974,920,908,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
62,evi,ndwi,0.9606387,2313,941,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
64,ndvi,ndwi,0.90627956,936,948,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
66,evi,ndwi,-0.9390725,1608,960,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong negative correlation in this zone
67,evi,ndvi,0.9258126,2744,1016,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
68,ndvi,ndwi,0.96153295,1928,1088,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
69,ndvi,ndwi,0.9659409,1920,1116,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
70,ndvi,ndwi,0.9301246,1960,1128,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
71,ndvi,ndwi,0.96160287,1288,1152,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
72,ndvi,ndwi,0.94217706,1273,1161,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
73,evi,ndvi,0.9386099,1233,1181,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
75,evi,ndwi,-0.92182106,2454,1209,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong negative correlation in this zone
76,ndvi,ndwi,0.9309813,2365,1253,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
77,evi,ndvi,0.9440887,2594,1279,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
78,evi,ndvi,0.95022696,728,1264,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
79,evi,ndwi,0.9711422,1312,1296,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
80,evi,ndwi,0.9648606,1304,1312,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
81,evi,ndvi,0.90928,872,1320,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
82,ndvi,ndwi,0.93546754,1584,1320,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
83,ndvi,ndwi,0.9573038,2347,1376,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
84,evi,ndvi,0.940172,708,1364,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
85,evi,ndvi,0.94324636,2456,1376,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
86,ndvi,ndwi,0.9464123,2180,1384,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
87,evi,ndwi,0.93179816,869,1402,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
88,ndvi,ndwi,0.9165978,2480,1407,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
89,evi,ndvi,0.9309123,2406,1430,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
90,evi,ndwi,0.91917944,988,1434,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
91,ndvi,ndwi,0.940781,2592,1432,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
92,evi,ndvi,0.94385344,2464,1480,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
93,evi,ndwi,0.9151084,956,1482,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
94,evi,ndwi,0.91756815,2724,1506,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
95,ndvi,ndwi,0.94425046,2154,1567,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
96,ndvi,ndwi,0.95767415,2260,1512,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
97,ndvi,ndwi,0.9393648,2096,1536,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
