id,band1,band2,avg_corr,corr_std,center_x,center_y,years_observed,first_year,last_year,temporal_span,bbox_width,bbox_height,bbox_area,cluster_size,spatial_density,avg_p_value,is_linear,aspect_ratio,max_dimension,min_dimension,quality_score,human_rule
12,ndvi,ndwi,0.98185945,0.009778865,1944,690,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,5,12,12,144,9,0.0625,0.0006313829374721043,False,1.0,12,12,0.990788,"Area pattern: NDVI and NDWI show strong positive correlation (r=0.982, quality=0.991) across 6 years. Size: 12x12 pixels"
5,ndvi,ndwi,0.97018594,0.0027720928,1908,414,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,5,12,12,144,6,0.041666666666666664,0.001331244961339329,False,1.0,12,12,0.9875199,"Area pattern: NDVI and NDWI show strong positive correlation (r=0.970, quality=0.988) across 6 years. Size: 12x12 pixels"
75,ndvi,ndwi,0.9694478,0.0014259964,1716,2358,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,5,12,12,144,9,0.0625,0.0013888547647760271,False,1.0,12,12,0.9874939,"Area pattern: NDVI and NDWI show strong positive correlation (r=0.969, quality=0.987) across 6 years. Size: 12x12 pixels"
76,ndvi,ndwi,0.9664697,0.007666363,2490,2451,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,5,12,102,1224,54,0.04411764705882353,0.001752770237281368,True,8.5,102,12,0.9850546,"Linear pattern: NDVI and NDWI show strong positive correlation (r=0.966, quality=0.985) across 6 years. Length: 102 pixels"
52,ndvi,ndwi,0.9630281,0.002478319,1290,1524,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,5,12,12,144,9,0.0625,0.002033979114665662,False,1.0,12,12,0.9847156,"Area pattern: NDVI and NDWI show strong positive correlation (r=0.963, quality=0.985) across 6 years. Size: 12x12 pixels"
69,ndvi,ndwi,0.96442485,0.011215808,2454,2280,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,5,12,12,144,9,0.0625,0.002058050681850454,False,1.0,12,12,0.98352677,"Area pattern: NDVI and NDWI show strong positive correlation (r=0.964, quality=0.984) across 6 years. Size: 12x12 pixels"
70,ndvi,ndwi,0.9604933,0.0034072355,1998,2286,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,5,12,12,144,9,0.0625,0.0023270842111177527,False,1.0,12,12,0.98351586,"Area pattern: NDVI and NDWI show strong positive correlation (r=0.960, quality=0.984) across 6 years. Size: 12x12 pixels"
39,ndvi,ndwi,0.9648306,0.012580931,1308,1116,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,5,12,12,144,6,0.041666666666666664,0.0020626519373115946,False,1.0,12,12,0.983416,"Area pattern: NDVI and NDWI show strong positive correlation (r=0.965, quality=0.983) across 6 years. Size: 12x12 pixels"
49,ndvi,ndwi,0.9572642,0.0004995465,2772,1260,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,5,12,12,144,6,0.041666666666666664,0.0027008577939655917,False,1.0,12,12,0.9828057,"Area pattern: NDVI and NDWI show strong positive correlation (r=0.957, quality=0.983) across 6 years. Size: 12x12 pixels"
83,evi,ndvi,0.9553766,0.0011107943,2334,2576,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,5,12,18,216,9,0.041666666666666664,0.002944209118193623,False,1.5,18,12,0.98192847,"Area pattern: EVI and NDVI show strong positive correlation (r=0.955, quality=0.982) across 6 years. Size: 12x18 pixels"
46,evi,ndwi,0.9527147,5.9604645e-08,1182,1206,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,5,12,12,144,9,0.0625,0.003300989347474444,False,1.0,12,12,0.98108584,"Area pattern: EVI and NDWI show strong positive correlation (r=0.953, quality=0.981) across 6 years. Size: 12x12 pixels"
64,ndvi,ndwi,0.9823122,0.0033844712,627,2064,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,5,30,0,1,6,6.0,0.0004833921735218334,True,30.0,30,1,0.9422479,"Linear pattern: NDVI and NDWI show strong positive correlation (r=0.982, quality=0.942) across 6 years. Length: 30 pixels"
11,ndvi,ndwi,0.9753797,0.008317249,2112,658,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,5,30,6,180,9,0.05,0.0010028654326021927,True,5.0,30,6,0.9384884,"Linear pattern: NDVI and NDWI show strong positive correlation (r=0.975, quality=0.938) across 6 years. Length: 30 pixels"
3,ndvi,ndwi,0.95946383,0.006466057,1350,392,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,5,30,6,180,9,0.05,0.0024915344936354278,True,5.0,30,6,0.9324923,"Linear pattern: NDVI and NDWI show strong positive correlation (r=0.959, quality=0.932) across 6 years. Length: 30 pixels"
82,ndvi,ndwi,0.95736974,0.002701402,2463,2565,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,5,30,6,180,12,0.06666666666666667,0.0026977583555945154,True,5.0,30,6,0.93240756,"Linear pattern: NDVI and NDWI show strong positive correlation (r=0.957, quality=0.932) across 6 years. Length: 30 pixels"
8,ndvi,ndwi,0.96510047,0.015066547,822,621,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,5,24,6,144,10,0.06944444444444445,0.0021349439563128265,True,4.0,24,6,0.9030269,"Linear pattern: NDVI and NDWI show strong positive correlation (r=0.965, quality=0.903) across 6 years. Length: 24 pixels"
