zone,cluster,n_changes,n_strong_relations,summary
1,0,0,0,no strong pattern
2,0,0,0,no strong pattern
3,0,2,0,NDVI decrease 2021->2022 (Δ=-1.78); NDWI decrease 2024->2025 (Δ=-3.35); vegetation loss; water-content loss
4,0,1,0,NDVI increase 2024->2025 (Δ=3.26); vegetation gain
5,0,4,0,NDVI decrease 2022->2023 (Δ=-1.90); NDVI increase 2023->2024 (Δ=1.89); NDVI decrease 2024->2025 (Δ=-2.00); NDWI decrease 2024->2025 (Δ=-3.74); vegetation loss; vegetation gain; vegetation loss; water-content loss
6,0,2,0,NDVI increase 2023->2024 (Δ=1.58); NDWI decrease 2024->2025 (Δ=-2.53); vegetation gain; water-content loss
7,0,0,0,no strong pattern
8,0,0,0,no strong pattern
9,0,0,0,no strong pattern
10,1,0,1,NDWI(t) -> EVI(t+1) r=0.86 p=0.048
11,0,3,0,EVI decrease 2020->2021 (Δ=-2.32); EVI increase 2023->2024 (Δ=1.79); EVI decrease 2024->2025 (Δ=-1.93); EVI drop; EVI rise; EVI drop
12,1,3,0,NDVI decrease 2022->2023 (Δ=-2.59); NDVI increase 2023->2024 (Δ=2.59); NDVI decrease 2024->2025 (Δ=-3.51); vegetation loss; vegetation gain; vegetation loss
13,0,0,1,EVI(t) -> NDWI(t+1) r=-0.65 p=0.048
14,0,2,0,EVI decrease 2022->2023 (Δ=-1.61); EVI increase 2024->2025 (Δ=1.72); EVI drop; EVI rise
15,1,14,2,NDVI decrease 2020->2021 (Δ=-11.01); NDWI decrease 2020->2021 (Δ=-15.01); NDVI increase 2021->2022 (Δ=30.47); NDWI increase 2021->2022 (Δ=44.82); EVI increase 2021->2022 (Δ=15.58); NDVI decrease 2022->2023 (Δ=-39.18); NDWI decrease 2022->2023 (Δ=-72.07); EVI decrease 2022->2023 (Δ=-13.51); NDVI increase 2023->2024 (Δ=41.50); NDWI increase 2023->2024 (Δ=74.11); EVI increase 2023->2024 (Δ=10.01); NDVI decrease 2024->2025 (Δ=-41.33); NDWI decrease 2024->2025 (Δ=-112.44); EVI decrease 2024->2025 (Δ=-4.32); NDVI(t) -> NDWI(t+1) r=-0.96 p=0.032; NDWI(t) -> NDVI(t+1) r=-0.93 p=0.016; vegetation loss; water-content loss; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop
16,1,15,1,NDVI decrease 2020->2021 (Δ=-21.62); NDWI decrease 2020->2021 (Δ=-16.43); EVI decrease 2020->2021 (Δ=-4.81); NDVI increase 2021->2022 (Δ=6.69); NDWI increase 2021->2022 (Δ=19.24); EVI increase 2021->2022 (Δ=8.50); NDVI decrease 2022->2023 (Δ=-1.74); NDWI decrease 2022->2023 (Δ=-14.39); EVI decrease 2022->2023 (Δ=-13.91); NDVI increase 2023->2024 (Δ=23.15); NDWI increase 2023->2024 (Δ=24.70); EVI increase 2023->2024 (Δ=14.87); NDVI decrease 2024->2025 (Δ=-14.47); NDWI decrease 2024->2025 (Δ=-125.04); EVI decrease 2024->2025 (Δ=-5.79); NDVI(t) -> NDWI(t+1) r=-0.83 p=0.036; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop
17,1,13,2,NDVI decrease 2020->2021 (Δ=-30.33); NDWI decrease 2020->2021 (Δ=-42.23); NDVI increase 2021->2022 (Δ=64.97); NDWI increase 2021->2022 (Δ=42.11); EVI increase 2021->2022 (Δ=13.24); NDVI decrease 2022->2023 (Δ=-41.98); NDWI decrease 2022->2023 (Δ=-19.52); EVI decrease 2022->2023 (Δ=-11.89); NDVI increase 2023->2024 (Δ=11.30); NDWI increase 2023->2024 (Δ=15.12); EVI increase 2023->2024 (Δ=5.55); NDVI decrease 2024->2025 (Δ=-6.51); NDWI decrease 2024->2025 (Δ=-66.56); NDWI(t) -> NDVI(t+1) r=-0.92 p=0.004; NDWI(t) -> EVI(t+1) r=-0.96 p=0.004; vegetation loss; water-content loss; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss
